"Redirect to payment process","Umleitung zu Bezahlsystem"
"Heidelpay Direct Debit (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAIAAACQkWg2AAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAM1JREFUeNpi/P//PwMpgImBRMCCS+Ldhy91bYu37Dr16tWHP3//MjIy/nyxEbuGP3/+xWX2rNty9N+//1xc7HraimoqUuoqslDp/6jg3sMXYmqRrGK+KsbJO/ee/Y8BGNBU88gGsYn7NXcv+48DIDT8/v0XaDZQ9fotx/7jBggNkSmdQJfgMRtFw9v3n9kl/JSNkv8TAlAN2aXTgMZv3XWKWA3y+gn88iH/iQDQmAbGjrqqDAlJAxiXSvISJGgAxry2hhwxGhhpnloBAgwAZ4VMbOs/FegAAAAASUVORK5CYII=' style='margin-right: 5px'/> Heidelpay CD-Edition Direct Debit"
"Heidelpay direct debit secured(hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAIAAACQkWg2AAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAM1JREFUeNpi/P//PwMpgImBRMCCS+Ldhy91bYu37Dr16tWHP3//MjIy/nyxEbuGP3/+xWX2rNty9N+//1xc7HraimoqUuoqslDp/6jg3sMXYmqRrGK+KsbJO/ee/Y8BGNBU88gGsYn7NXcv+48DIDT8/v0XaDZQ9fotx/7jBggNkSmdQJfgMRtFw9v3n9kl/JSNkv8TAlAN2aXTgMZv3XWKWA3y+gn88iH/iQDQmAbGjrqqDAlJAxiXSvISJGgAxry2hhwxGhhpnloBAgwAZ4VMbOs/FegAAAAASUVORK5CYII=' style='margin-right: 5px'/> Heidelpay CD-Edition SEPA direct debit secured (b2c)"
"Heidelpay Debit Card (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAIAAACQkWg2AAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAM1JREFUeNpi/P//PwMpgImBRMCCS+Ldhy91bYu37Dr16tWHP3//MjIy/nyxEbuGP3/+xWX2rNty9N+//1xc7HraimoqUuoqslDp/6jg3sMXYmqRrGK+KsbJO/ee/Y8BGNBU88gGsYn7NXcv+48DIDT8/v0XaDZQ9fotx/7jBggNkSmdQJfgMRtFw9v3n9kl/JSNkv8TAlAN2aXTgMZv3XWKWA3y+gn88iH/iQDQmAbGjrqqDAlJAxiXSvISJGgAxry2hhwxGhhpnloBAgwAZ4VMbOs/FegAAAAASUVORK5CYII=' style='margin-right: 5px'/> Heidelpay CD-Edition Debit Card"
"Heidelpay Sofort (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAIAAACQkWg2AAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAM1JREFUeNpi/P//PwMpgImBRMCCS+Ldhy91bYu37Dr16tWHP3//MjIy/nyxEbuGP3/+xWX2rNty9N+//1xc7HraimoqUuoqslDp/6jg3sMXYmqRrGK+KsbJO/ee/Y8BGNBU88gGsYn7NXcv+48DIDT8/v0XaDZQ9fotx/7jBggNkSmdQJfgMRtFw9v3n9kl/JSNkv8TAlAN2aXTgMZv3XWKWA3y+gn88iH/iQDQmAbGjrqqDAlJAxiXSvISJGgAxry2hhwxGhhpnloBAgwAZ4VMbOs/FegAAAAASUVORK5CYII=' style='margin-right: 5px'/> Heidelpay CD-Edition Sofort"
"Heidelpay Giropay (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAIAAACQkWg2AAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAM1JREFUeNpi/P//PwMpgImBRMCCS+Ldhy91bYu37Dr16tWHP3//MjIy/nyxEbuGP3/+xWX2rNty9N+//1xc7HraimoqUuoqslDp/6jg3sMXYmqRrGK+KsbJO/ee/Y8BGNBU88gGsYn7NXcv+48DIDT8/v0XaDZQ9fotx/7jBggNkSmdQJfgMRtFw9v3n9kl/JSNkv8TAlAN2aXTgMZv3XWKWA3y+gn88iH/iQDQmAbGjrqqDAlJAxiXSvISJGgAxry2hhwxGhhpnloBAgwAZ4VMbOs/FegAAAAASUVORK5CYII=' style='margin-right: 5px'/> Heidelpay CD-Edition Giropay"
"Heidelpay Postfinance (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAIAAACQkWg2AAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAM1JREFUeNpi/P//PwMpgImBRMCCS+Ldhy91bYu37Dr16tWHP3//MjIy/nyxEbuGP3/+xWX2rNty9N+//1xc7HraimoqUuoqslDp/6jg3sMXYmqRrGK+KsbJO/ee/Y8BGNBU88gGsYn7NXcv+48DIDT8/v0XaDZQ9fotx/7jBggNkSmdQJfgMRtFw9v3n9kl/JSNkv8TAlAN2aXTgMZv3XWKWA3y+gn88iH/iQDQmAbGjrqqDAlJAxiXSvISJGgAxry2hhwxGhhpnloBAgwAZ4VMbOs/FegAAAAASUVORK5CYII=' style='margin-right: 5px'/> Heidelpay CD-Edition Postfinance"
"Heidelpay Invoice (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAIAAACQkWg2AAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAM1JREFUeNpi/P//PwMpgImBRMCCS+Ldhy91bYu37Dr16tWHP3//MjIy/nyxEbuGP3/+xWX2rNty9N+//1xc7HraimoqUuoqslDp/6jg3sMXYmqRrGK+KsbJO/ee/Y8BGNBU88gGsYn7NXcv+48DIDT8/v0XaDZQ9fotx/7jBggNkSmdQJfgMRtFw9v3n9kl/JSNkv8TAlAN2aXTgMZv3XWKWA3y+gn88iH/iQDQmAbGjrqqDAlJAxiXSvISJGgAxry2hhwxGhhpnloBAgwAZ4VMbOs/FegAAAAASUVORK5CYII=' style='margin-right: 5px'/> Heidelpay CD-Edition Invoice"
"Heidelpay invoice secured(hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAIAAACQkWg2AAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAM1JREFUeNpi/P//PwMpgImBRMCCS+Ldhy91bYu37Dr16tWHP3//MjIy/nyxEbuGP3/+xWX2rNty9N+//1xc7HraimoqUuoqslDp/6jg3sMXYmqRrGK+KsbJO/ee/Y8BGNBU88gGsYn7NXcv+48DIDT8/v0XaDZQ9fotx/7jBggNkSmdQJfgMRtFw9v3n9kl/JSNkv8TAlAN2aXTgMZv3XWKWA3y+gn88iH/iQDQmAbGjrqqDAlJAxiXSvISJGgAxry2hhwxGhhpnloBAgwAZ4VMbOs/FegAAAAASUVORK5CYII=' style='margin-right: 5px'/> Heidelpay CD-Edition invoice secured (b2c)"
"Heidelpay PayPal (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAIAAACQkWg2AAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAM1JREFUeNpi/P//PwMpgImBRMCCS+Ldhy91bYu37Dr16tWHP3//MjIy/nyxEbuGP3/+xWX2rNty9N+//1xc7HraimoqUuoqslDp/6jg3sMXYmqRrGK+KsbJO/ee/Y8BGNBU88gGsYn7NXcv+48DIDT8/v0XaDZQ9fotx/7jBggNkSmdQJfgMRtFw9v3n9kl/JSNkv8TAlAN2aXTgMZv3XWKWA3y+gn88iH/iQDQmAbGjrqqDAlJAxiXSvISJGgAxry2hhwxGhhpnloBAgwAZ4VMbOs/FegAAAAASUVORK5CYII=' style='margin-right: 5px'/> Heidelpay CD-Edition PayPal"
"Heidelpay Prepayment (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAIAAACQkWg2AAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAM1JREFUeNpi/P//PwMpgImBRMCCS+Ldhy91bYu37Dr16tWHP3//MjIy/nyxEbuGP3/+xWX2rNty9N+//1xc7HraimoqUuoqslDp/6jg3sMXYmqRrGK+KsbJO/ee/Y8BGNBU88gGsYn7NXcv+48DIDT8/v0XaDZQ9fotx/7jBggNkSmdQJfgMRtFw9v3n9kl/JSNkv8TAlAN2aXTgMZv3XWKWA3y+gn88iH/iQDQmAbGjrqqDAlJAxiXSvISJGgAxry2hhwxGhhpnloBAgwAZ4VMbOs/FegAAAAASUVORK5CYII=' style='margin-right: 5px'/> Heidelpay CD-Edition Prepayment"
"Heidelpay Billsafe (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAIAAACQkWg2AAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAM1JREFUeNpi/P//PwMpgImBRMCCS+Ldhy91bYu37Dr16tWHP3//MjIy/nyxEbuGP3/+xWX2rNty9N+//1xc7HraimoqUuoqslDp/6jg3sMXYmqRrGK+KsbJO/ee/Y8BGNBU88gGsYn7NXcv+48DIDT8/v0XaDZQ9fotx/7jBggNkSmdQJfgMRtFw9v3n9kl/JSNkv8TAlAN2aXTgMZv3XWKWA3y+gn88iH/iQDQmAbGjrqqDAlJAxiXSvISJGgAxry2hhwxGhhpnloBAgwAZ4VMbOs/FegAAAAASUVORK5CYII=' style='margin-right: 5px'/> Heidelpay CD-Edition BillSafe"
"Heidelpay EPS (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAIAAACQkWg2AAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAM1JREFUeNpi/P//PwMpgImBRMCCS+Ldhy91bYu37Dr16tWHP3//MjIy/nyxEbuGP3/+xWX2rNty9N+//1xc7HraimoqUuoqslDp/6jg3sMXYmqRrGK+KsbJO/ee/Y8BGNBU88gGsYn7NXcv+48DIDT8/v0XaDZQ9fotx/7jBggNkSmdQJfgMRtFw9v3n9kl/JSNkv8TAlAN2aXTgMZv3XWKWA3y+gn88iH/iQDQmAbGjrqqDAlJAxiXSvISJGgAxry2hhwxGhhpnloBAgwAZ4VMbOs/FegAAAAASUVORK5CYII=' style='margin-right: 5px'/> Heidelpay CD-Edition EPS"
"Heidelpay iDeal (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAIAAACQkWg2AAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAM1JREFUeNpi/P//PwMpgImBRMCCS+Ldhy91bYu37Dr16tWHP3//MjIy/nyxEbuGP3/+xWX2rNty9N+//1xc7HraimoqUuoqslDp/6jg3sMXYmqRrGK+KsbJO/ee/Y8BGNBU88gGsYn7NXcv+48DIDT8/v0XaDZQ9fotx/7jBggNkSmdQJfgMRtFw9v3n9kl/JSNkv8TAlAN2aXTgMZv3XWKWA3y+gn88iH/iQDQmAbGjrqqDAlJAxiXSvISJGgAxry2hhwxGhhpnloBAgwAZ4VMbOs/FegAAAAASUVORK5CYII=' style='margin-right: 5px'/> Heidelpay CD-Edition iDeal"
"Heidelpay Yapital (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAIAAACQkWg2AAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAM1JREFUeNpi/P//PwMpgImBRMCCS+Ldhy91bYu37Dr16tWHP3//MjIy/nyxEbuGP3/+xWX2rNty9N+//1xc7HraimoqUuoqslDp/6jg3sMXYmqRrGK+KsbJO/ee/Y8BGNBU88gGsYn7NXcv+48DIDT8/v0XaDZQ9fotx/7jBggNkSmdQJfgMRtFw9v3n9kl/JSNkv8TAlAN2aXTgMZv3XWKWA3y+gn88iH/iQDQmAbGjrqqDAlJAxiXSvISJGgAxry2hhwxGhhpnloBAgwAZ4VMbOs/FegAAAAASUVORK5CYII=' style='margin-right: 5px'/> Heidelpay CD-Edition Yapital"
"Heidelpay MasterPass (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAIAAACQkWg2AAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAM1JREFUeNpi/P//PwMpgImBRMCCS+Ldhy91bYu37Dr16tWHP3//MjIy/nyxEbuGP3/+xWX2rNty9N+//1xc7HraimoqUuoqslDp/6jg3sMXYmqRrGK+KsbJO/ee/Y8BGNBU88gGsYn7NXcv+48DIDT8/v0XaDZQ9fotx/7jBggNkSmdQJfgMRtFw9v3n9kl/JSNkv8TAlAN2aXTgMZv3XWKWA3y+gn88iH/iQDQmAbGjrqqDAlJAxiXSvISJGgAxry2hhwxGhhpnloBAgwAZ4VMbOs/FegAAAAASUVORK5CYII=' style='margin-right: 5px'/> Heidelpay CD-Edition MasterPass"
"Heidelpay Payolution (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAIAAACQkWg2AAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAM1JREFUeNpi/P//PwMpgImBRMCCS+Ldhy91bYu37Dr16tWHP3//MjIy/nyxEbuGP3/+xWX2rNty9N+//1xc7HraimoqUuoqslDp/6jg3sMXYmqRrGK+KsbJO/ee/Y8BGNBU88gGsYn7NXcv+48DIDT8/v0XaDZQ9fotx/7jBggNkSmdQJfgMRtFw9v3n9kl/JSNkv8TAlAN2aXTgMZv3XWKWA3y+gn88iH/iQDQmAbGjrqqDAlJAxiXSvISJGgAxry2hhwxGhhpnloBAgwAZ4VMbOs/FegAAAAASUVORK5CYII=' style='margin-right: 5px'/> Heidelpay CD-Edition Payolution"
"Heidelpay Santander Invoice (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAIAAACQkWg2AAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAM1JREFUeNpi/P//PwMpgImBRMCCS+Ldhy91bYu37Dr16tWHP3//MjIy/nyxEbuGP3/+xWX2rNty9N+//1xc7HraimoqUuoqslDp/6jg3sMXYmqRrGK+KsbJO/ee/Y8BGNBU88gGsYn7NXcv+48DIDT8/v0XaDZQ9fotx/7jBggNkSmdQJfgMRtFw9v3n9kl/JSNkv8TAlAN2aXTgMZv3XWKWA3y+gn88iH/iQDQmAbGjrqqDAlJAxiXSvISJGgAxry2hhwxGhhpnloBAgwAZ4VMbOs/FegAAAAASUVORK5CYII=' style='margin-right: 5px'/> Heidelpay CD-Edition Invoice by Santander"

"No.","No."
"Valid until:","Valid until:"
"close","close"
"Cardtype:","Cardtype"
"Account No","Account No"
"Bankcode","Bankcode"
"IBAN","IBAN"
"BIC","BIC"
"Holder","Holder"
"Identification","Please use the descriptor"
"Owner","Owner"
"Change at MasterPass":"Change at MasterPass"
"Please enter account no.","Please enter account no."
"Please enter bankcode.","Please enter bankcode."
"Please enter owner.","Please enter owner."
"Enter additional information for the payment.","Enter additional information for the payment."
"HP_SUCCESS_BILLSAFE","Ihre Transaktion war erfolgreich!

            Ueberweisen Sie uns den Betrag von {CURRENCY} {AMOUNT} auf folgendes Konto
            Bankname:      {ACC_BANKNAME}
            Kontoinhaber : {ACC_OWNER}
            Konto-Nr. :    {ACC_NUMBER}
            Bankleitzahl:  {ACC_BANKCODE}
            IBAN:          {ACC_IBAN}
            BIC:           {ACC_BIC}
            Geben sie bitte im Verwendungszweck UNBEDINGT die Identifikationsnummer
        {SHORTID}
        und NICHTS ANDERES an."
"HP_LEGALNOTE_BILLSAFE","Bitte überweisen Sie den ausstehenden Betrag {DAYS} Tage nach dem Sie über den Versand informiert wurden."

"salutation","Salutation"
"Please choose your salution","Please choose your salution"
"mrs","Mrs"
"mr","Mr"
"Date of birth","Date of birth"

"Bank code or bic","Bank code or bic"
"Account number or iban","Account number or iban"
"IBAN & BIC","IBAN & BIC"

"Account information","Account information"
"Account no. & Bank no.","Account no. & Bank no."
"IBAN & BIC","IBAN & BIC"

"Canceled by user","Canceled by user"
"Redirect to MasterPass ...","Redirect to MasterPass ..."
"This Transaction could not be capture online.","This Transaction could not be capture online."
"please note that this is only necessary, when you use purchase on account with payment guarantee.","please note that this is only necessary, when you use purchase on account with payment guarantee."
"please note that capture on delivery is only possible, when you set bookingmode to preauthorisation","please note that capture on delivery is only possible, when you set bookingmode to preauthorization."
"Automatically capture on delivery","Automatically capture on delivery"
"Send delivery note to Heidelpay","Send delivery note to Heidelpay"
"Successfully report delivery to Heidelpay.","Successfully report delivery to Heidelpay."
"Delivery notes to Heidelpay fail, because of : ","Delivery notes to Heidelpay fail, because of : "
"Please enter a valid phone number e.g. +49 123 456-1222. Allowed symbols are +, /, -, (, ) and whitespace.","Please enter a valid phone number e.g. +49 123 456-1222.<br/>Allowed symbols are +, /, -, (, ) and whitespace."
"Due to technical circumstances the Shipping Notice cannot be sent to heidelpay.","Due to technical circumstances the Shipping Notice cannot be sent to heidelpay - Please perform the finalize manually in your heidelpay Intelligence Platform account."
"Due to technical circumstances the Reversal Notice cannot be sent to heidelpay.","Due to technical circumstances the Reversal Notice cannot be sent to heidelpay - Please perform the reversal manually in your heidelpay Intelligence Platform account."
"Reversal transaction to heidelpay failed.","Reversal transaction to heidelpay failed. Please perform the reversal manually in your heidelpay Intelligence Platform account."
"Reversal transaction to heidelpay succeeded.","Reversal transaction to heidelpay succeeded."
"Reversal transaction is not possible here, since there was no Authorize transaction.","(Information) A reversal transaction to heidelpay is not possible here, since there was no authorize transaction."
"The minimum age is 18 years for this payment method.","The minimum age is 18 years for this payment method."

"Please accept the terms and conditions of Santander.","Please accept the terms and conditions of Santander."

"You have used the card %CARD% before, would you like to use this again?","You have used the card %CARD% befor, would you like to use this again?"
"HPError-100.100.101","Please verify your payment data."
"HPError-100.100.303","Card expired."
"HPError-100.100.500","Please verify your payment data."
"HPError-100.396.101","Canceled by user."
"HPError-100.400.110","Please choose another payment method."
"HPError-400.100.107","The desired payment method can not be offered to you. Please choose another payment method."
"HPError-800.100.151","Please choose another payment method."
"HPError-800.100.152","Please choose another payment method."
"HPError-800.100.153","Please verify your payment data."
"HPError-800.100.157","Please verify your payment data."
"HPError-800.100.159","Please choose another payment method."
"HPError-800.100.160","Please choose another payment method."
"HPError-800.100.168","Please choose another payment method."
"HPError-800.100.171","Please choose another payment method."
"HPError-800.300.101","Please choose another payment method."

"Advertisement Approval","Advertisement Approval"
"Privacy Policy","Privacy Policy"
"Post code has to be 5 digits.","Post code has to be 5 digits. Change address and try again."
"Please enter a valid date of birth.","Please enter a valid date of birth."

"The booking contains:","The booking contains:"
"mandate reference ID","mandate reference ID"
"creditor identifier","creditor identifier"
